"Specialized Traces WorkflowID"	"Specialized Traces ID"	"Checked"	"Tags"	"Study File ID"	"Trace/Detector Type"	"Custom Label"	"Description"	"Scan Filter"	"Spectrum File"
"-107"	"1"	"False"	""	"F1"	"TIC"	""	"MS Order: MS1"	"FTMS + p NSI Full ms [500.0000-2000.0000]"	"20250116_OE_TR_10S_MECFS_GPEP_HC13.raw"
"-107"	"2"	"False"	""	"F1"	"BPC"	""	"MS Order: MS1"	"FTMS + p NSI Full ms [500.0000-2000.0000]"	"20250116_OE_TR_10S_MECFS_GPEP_HC13.raw"
"-107"	"3"	"False"	""	"F2"	"TIC"	""	"MS Order: MS1"	"FTMS + p NSI Full ms [500.0000-2000.0000]"	"20250116_OE_TR_10S_MECFS_GPEP_HC14.raw"
"-107"	"4"	"False"	""	"F2"	"BPC"	""	"MS Order: MS1"	"FTMS + p NSI Full ms [500.0000-2000.0000]"	"20250116_OE_TR_10S_MECFS_GPEP_HC14.raw"
"-107"	"5"	"False"	""	"F3"	"TIC"	""	"MS Order: MS1"	"FTMS + p NSI Full ms [500.0000-2000.0000]"	"20250116_OE_TR_10S_MECFS_GPEP_HC20.raw"
"-107"	"6"	"False"	""	"F3"	"BPC"	""	"MS Order: MS1"	"FTMS + p NSI Full ms [500.0000-2000.0000]"	"20250116_OE_TR_10S_MECFS_GPEP_HC20.raw"
"-107"	"7"	"False"	""	"F4"	"TIC"	""	"MS Order: MS1"	"FTMS + p NSI Full ms [500.0000-2000.0000]"	"20250116_OE_TR_10S_MECFS_GPEP_HC22.raw"
"-107"	"8"	"False"	""	"F4"	"BPC"	""	"MS Order: MS1"	"FTMS + p NSI Full ms [500.0000-2000.0000]"	"20250116_OE_TR_10S_MECFS_GPEP_HC22.raw"
"-107"	"9"	"False"	""	"F5"	"TIC"	""	"MS Order: MS1"	"FTMS + p NSI Full ms [500.0000-2000.0000]"	"20250116_OE_TR_10S_MECFS_GPEP_HC25.raw"
"-107"	"10"	"False"	""	"F5"	"BPC"	""	"MS Order: MS1"	"FTMS + p NSI Full ms [500.0000-2000.0000]"	"20250116_OE_TR_10S_MECFS_GPEP_HC25.raw"
